V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Sex_codelist,Sex
1267,Year,2013,E38000004,,,22,,Female
1372,Year,2013,E38000004,,,23,,Male
1378,Year,2013,E38000004,,,23,,Female
1301,Year,2013,E38000004,,,24,,Male
1445,Year,2013,E38000004,,,24,,Female
1451,Year,2013,E38000004,,,25,,Male
1530,Year,2013,E38000004,,,25,,Female
1415,Year,2013,E38000004,,,26,,Male
1540,Year,2013,E38000004,,,26,,Female
1361,Year,2013,E38000004,,,27,,Male
1614,Year,2013,E38000004,,,27,,Female
1523,Year,2013,E38000004,,,28,,Male
1765,Year,2013,E38000004,,,28,,Female
1490,Year,2013,E38000004,,,29,,Male
1696,Year,2013,E38000004,,,29,,Female
1491,Year,2013,E38000004,,,30,,Male
1758,Year,2013,E38000004,,,30,,Female
1540,Year,2013,E38000004,,,31,,Male
1641,Year,2013,E38000004,,,31,,Female
1520,Year,2013,E38000004,,,32,,Male
1769,Year,2013,E38000004,,,32,,Female
1434,Year,2013,E38000004,,,33,,Male
1713,Year,2013,E38000004,,,33,,Female
1450,Year,2013,E38000004,,,34,,Male
1650,Year,2013,E38000004,,,34,,Female
1437,Year,2013,E38000004,,,35,,Male
1603,Year,2013,E38000004,,,35,,Female
1474,Year,2013,E38000004,,,36,,Male
1608,Year,2013,E38000004,,,36,,Female
1376,Year,2013,E38000004,,,37,,Male
1635,Year,2013,E38000004,,,37,,Female
1494,Year,2013,E38000004,,,38,,Male
1586,Year,2013,E38000004,,,38,,Female
1482,Year,2013,E38000004,,,39,,Male
1537,Year,2013,E38000004,,,39,,Female
1452,Year,2013,E38000004,,,40,,Male
1447,Year,2013,E38000004,,,40,,Female
1376,Year,2013,E38000004,,,41,,Male
1367,Year,2013,E38000004,,,41,,Female
1396,Year,2013,E38000004,,,42,,Male
1465,Year,2013,E38000004,,,42,,Female
1379,Year,2013,E38000004,,,43,,Male
1455,Year,2013,E38000004,,,43,,Female
1291,Year,2013,E38000004,,,44,,Male
1445,Year,2013,E38000004,,,44,,Female
1272,Year,2013,E38000004,,,45,,Male
1381,Year,2013,E38000004,,,45,,Female
1276,Year,2013,E38000004,,,46,,Male
