V4_0,Time_codelist,Time,Geography_codelist,Geography,Housing_codelist,Housing
117950.0,Quarter,2015 Q2,J01000080,,,Flat/Maisonette
105950.0,Quarter,2015 Q2,J01000081,,,All properties
159995.0,Quarter,2015 Q2,J01000081,,,Detached
103000.0,Quarter,2015 Q2,J01000081,,,Semi Detached
79000.0,Quarter,2015 Q2,J01000081,,,Terraced
57750.0,Quarter,2015 Q2,J01000081,,,Flat/Maisonette
138000.0,Quarter,2015 Q2,J01000082,,,All properties
260000.0,Quarter,2015 Q2,J01000082,,,Detached
137500.0,Quarter,2015 Q2,J01000082,,,Semi Detached
125000.0,Quarter,2015 Q2,J01000082,,,Terraced
112500.0,Quarter,2015 Q2,J01000082,,,Flat/Maisonette
169950.0,Quarter,2015 Q2,J01000083,,,All properties
250000.0,Quarter,2015 Q2,J01000083,,,Detached
169995.0,Quarter,2015 Q2,J01000083,,,Semi Detached
147000.0,Quarter,2015 Q2,J01000083,,,Terraced
137500.0,Quarter,2015 Q2,J01000083,,,Flat/Maisonette
240000.0,Quarter,2015 Q2,J01000084,,,All properties
457000.0,Quarter,2015 Q2,J01000084,,,Detached
322500.0,Quarter,2015 Q2,J01000084,,,Semi Detached
250000.0,Quarter,2015 Q2,J01000084,,,Terraced
175500.0,Quarter,2015 Q2,J01000084,,,Flat/Maisonette
230000.0,Quarter,2015 Q2,J01000085,,,All properties
385000.0,Quarter,2015 Q2,J01000085,,,Detached
224475.0,Quarter,2015 Q2,J01000085,,,Semi Detached
194975.0,Quarter,2015 Q2,J01000085,,,Terraced
150000.0,Quarter,2015 Q2,J01000085,,,Flat/Maisonette
125500.0,Quarter,2015 Q2,J01000086,,,All properties
201250.0,Quarter,2015 Q2,J01000086,,,Detached
150975.0,Quarter,2015 Q2,J01000086,,,Semi Detached
103000.0,Quarter,2015 Q2,J01000086,,,Terraced
75000.0,Quarter,2015 Q2,J01000086,,,Flat/Maisonette
180000.0,Quarter,2015 Q2,J01000087,,,All properties
278125.0,Quarter,2015 Q2,J01000087,,,Detached
205000.0,Quarter,2015 Q2,J01000087,,,Semi Detached
175000.0,Quarter,2015 Q2,J01000087,,,Terraced
138000.0,Quarter,2015 Q2,J01000087,,,Flat/Maisonette
215000.0,Quarter,2015 Q2,J01000088,,,All properties
360000.0,Quarter,2015 Q2,J01000088,,,Detached
249995.0,Quarter,2015 Q2,J01000088,,,Semi Detached
205300.0,Quarter,2015 Q2,J01000088,,,Terraced
142000.0,Quarter,2015 Q2,J01000088,,,Flat/Maisonette
146500.0,Quarter,2015 Q2,J01000089,,,All properties
239697.5,Quarter,2015 Q2,J01000089,,,Detached
142000.0,Quarter,2015 Q2,J01000089,,,Semi Detached
121000.0,Quarter,2015 Q2,J01000089,,,Terraced
105000.0,Quarter,2015 Q2,J01000089,,,Flat/Maisonette
390000.0,Quarter,2015 Q2,J01000090,,,All properties
675000.0,Quarter,2015 Q2,J01000090,,,Detached
529400.0,Quarter,2015 Q2,J01000090,,,Semi Detached
400000.0,Quarter,2015 Q2,J01000090,,,Terraced
255000.0,Quarter,2015 Q2,J01000090,,,Flat/Maisonette
106000.0,Quarter,2015 Q2,J01000091,,,All properties
189995.0,Quarter,2015 Q2,J01000091,,,Detached
120000.0,Quarter,2015 Q2,J01000091,,,Semi Detached
70000.0,Quarter,2015 Q2,J01000091,,,Terraced
84950.0,Quarter,2015 Q2,J01000091,,,Flat/Maisonette
214997.5,Quarter,2015 Q2,J01000092,,,All properties
379000.0,Quarter,2015 Q2,J01000092,,,Detached
273750.0,Quarter,2015 Q2,J01000092,,,Semi Detached
