V4_0,Time_codelist,Time,Geography_codelist,Geography,Costs_codelist,Costs,SA / NSA_codelist,SA / NSA,SIC_codelist,SIC
99.5,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
99.7,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
96.9,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
99.9,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
97.2,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
98.3,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
93.9,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
99.1,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_J Information and Communication
98.4,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
98.6,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
97.3,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
98.4,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
97.0,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
97.0,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
95.6,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
97.2,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_L Real Estate Activities
98.6,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
98.5,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
99.2,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
99.0,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
98.6,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
98.5,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
98.2,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
98.7,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
99.3,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
98.8,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
102.2,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
99.2,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_O Public Administration
99.1,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
98.9,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
99.6,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
98.7,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_P Education
99.0,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
99.0,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
97.8,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
99.2,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_Q Health and Social Work
99.1,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
98.8,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
96.8,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
98.4,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
97.9,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
98.3,Quarter,2000 Q2,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
93.9,Quarter,2000 Q2,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
97.6,Quarter,2000 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_S Other Service Activities
102.1,Quarter,2000 Q3,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
