V4_0,Time_codelist,Time,Geography_codelist,Geography,Category_codelist,Category,Pay Type_codelist,Pay Type,Percentage Change_codelist,Percentage Change
3.162097558191,Month,Feb 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
2.598258557802,Month,Mar 2002,K03000001,,,Whole Economy,,Total Pay,,Single month
3.089935234658,Month,Mar 2002,K03000001,,,Whole Economy,,Total Pay,,3 month average
2.173478214628,Month,Mar 2002,K03000001,,,Private sector,,Total Pay,,Single month
2.730049917058,Month,Mar 2002,K03000001,,,Private sector,,Total Pay,,3 month average
4.390347291259,Month,Mar 2002,K03000001,,,Public sector,,Total Pay,,Single month
4.56189314769,Month,Mar 2002,K03000001,,,Public sector,,Total Pay,,3 month average
2.324456909427,Month,Mar 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
3.08693563987,Month,Mar 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
-2.299962112051,Month,Mar 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
-0.118735831616,Month,Mar 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
4.333341725172,Month,Mar 2002,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
4.466047282113,Month,Mar 2002,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
3.605545218381,Month,Mar 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
3.308660713257,Month,Mar 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
5.83301857081,Month,Mar 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,Single month
5.124308496516,Month,Mar 2002,K03000001,,,"Construction, SIC 2007 section F",,Total Pay,,3 month average
2.235208592753,Month,Mar 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,Single month
2.986173571683,Month,Mar 2002,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay,,3 month average
3.62846290764,Month,Apr 2002,K03000001,,,Whole Economy,,Total Pay,,Single month
3.060877871069,Month,Apr 2002,K03000001,,,Whole Economy,,Total Pay,,3 month average
3.657888592856,Month,Apr 2002,K03000001,,,Private sector,,Total Pay,,Single month
2.792344742869,Month,Apr 2002,K03000001,,,Private sector,,Total Pay,,3 month average
3.774353016896,Month,Apr 2002,K03000001,,,Public sector,,Total Pay,,Single month
4.220620914812,Month,Apr 2002,K03000001,,,Public sector,,Total Pay,,3 month average
3.760110720261,Month,Apr 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,Single month
2.994218441871,Month,Apr 2002,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay,,3 month average
2.112445750942,Month,Apr 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,Single month
0.050089659672,Month,Apr 2002,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay,,3 month average
3.612983111186,Month,Apr 2002,K03000001,,,Public sector excluding financial services,,Total Pay,,Single month
4.104205766505,Month,Apr 2002,K03000001,,,Public sector excluding financial services,,Total Pay,,3 month average
3.499500643835,Month,Apr 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,Single month
3.419168382079,Month,Apr 2002,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay,,3 month average
