V4_0,Time_codelist,Time,Geography_codelist,Geography,Employment size band_codelist,Employment size band,Entity Type_codelist,Entity Type
10.0,Year,2016,E07000122,,,250+,,Enterprise
2850.0,Year,2016,E07000122,,,Total,,Enterprise
3890.0,Year,2016,E07000123,,,0-4,,Enterprise
620.0,Year,2016,E07000123,,,5-9,,Enterprise
345.0,Year,2016,E07000123,,,10-19,,Enterprise
185.0,Year,2016,E07000123,,,20-49,,Enterprise
60.0,Year,2016,E07000123,,,50-99,,Enterprise
30.0,Year,2016,E07000123,,,100-249,,Enterprise
25.0,Year,2016,E07000123,,,250+,,Enterprise
5155.0,Year,2016,E07000123,,,Total,,Enterprise
2630.0,Year,2016,E07000124,,,0-4,,Enterprise
390.0,Year,2016,E07000124,,,5-9,,Enterprise
165.0,Year,2016,E07000124,,,10-19,,Enterprise
95.0,Year,2016,E07000124,,,20-49,,Enterprise
30.0,Year,2016,E07000124,,,50-99,,Enterprise
10.0,Year,2016,E07000124,,,100-249,,Enterprise
5.0,Year,2016,E07000124,,,250+,,Enterprise
3325.0,Year,2016,E07000124,,,Total,,Enterprise
2000.0,Year,2016,E07000125,,,0-4,,Enterprise
315.0,Year,2016,E07000125,,,5-9,,Enterprise
165.0,Year,2016,E07000125,,,10-19,,Enterprise
70.0,Year,2016,E07000125,,,20-49,,Enterprise
20.0,Year,2016,E07000125,,,50-99,,Enterprise
15.0,Year,2016,E07000125,,,100-249,,Enterprise
10.0,Year,2016,E07000125,,,250+,,Enterprise
2595.0,Year,2016,E07000125,,,Total,,Enterprise
2945.0,Year,2016,E07000126,,,0-4,,Enterprise
465.0,Year,2016,E07000126,,,5-9,,Enterprise
245.0,Year,2016,E07000126,,,10-19,,Enterprise
155.0,Year,2016,E07000126,,,20-49,,Enterprise
45.0,Year,2016,E07000126,,,50-99,,Enterprise
30.0,Year,2016,E07000126,,,100-249,,Enterprise
15.0,Year,2016,E07000126,,,250+,,Enterprise
3900.0,Year,2016,E07000126,,,Total,,Enterprise
3315.0,Year,2016,E07000127,,,0-4,,Enterprise
595.0,Year,2016,E07000127,,,5-9,,Enterprise
295.0,Year,2016,E07000127,,,10-19,,Enterprise
170.0,Year,2016,E07000127,,,20-49,,Enterprise
50.0,Year,2016,E07000127,,,50-99,,Enterprise
25.0,Year,2016,E07000127,,,100-249,,Enterprise
15.0,Year,2016,E07000127,,,250+,,Enterprise
4465.0,Year,2016,E07000127,,,Total,,Enterprise
3310.0,Year,2016,E07000128,,,0-4,,Enterprise
490.0,Year,2016,E07000128,,,5-9,,Enterprise
230.0,Year,2016,E07000128,,,10-19,,Enterprise
130.0,Year,2016,E07000128,,,20-49,,Enterprise
35.0,Year,2016,E07000128,,,50-99,,Enterprise
15.0,Year,2016,E07000128,,,100-249,,Enterprise
10.0,Year,2016,E07000128,,,250+,,Enterprise
4220.0,Year,2016,E07000128,,,Total,,Enterprise
29010.0,Year,2016,E11000002,,,0-4,,Enterprise
4540.0,Year,2016,E11000002,,,5-9,,Enterprise
2370.0,Year,2016,E11000002,,,10-19,,Enterprise
1310.0,Year,2016,E11000002,,,20-49,,Enterprise
400.0,Year,2016,E11000002,,,50-99,,Enterprise
260.0,Year,2016,E11000002,,,100-249,,Enterprise
145.0,Year,2016,E11000002,,,250+,,Enterprise
38035.0,Year,2016,E11000002,,,Total,,Enterprise
2525.0,Year,2016,E08000011,,,0-4,,Enterprise
375.0,Year,2016,E08000011,,,5-9,,Enterprise
210.0,Year,2016,E08000011,,,10-19,,Enterprise
120.0,Year,2016,E08000011,,,20-49,,Enterprise
40.0,Year,2016,E08000011,,,50-99,,Enterprise
35.0,Year,2016,E08000011,,,100-249,,Enterprise
20.0,Year,2016,E08000011,,,250+,,Enterprise
3325.0,Year,2016,E08000011,,,Total,,Enterprise
10265.0,Year,2016,E08000012,,,0-4,,Enterprise
1600.0,Year,2016,E08000012,,,5-9,,Enterprise
875.0,Year,2016,E08000012,,,10-19,,Enterprise
465.0,Year,2016,E08000012,,,20-49,,Enterprise
170.0,Year,2016,E08000012,,,50-99,,Enterprise
95.0,Year,2016,E08000012,,,100-249,,Enterprise
70.0,Year,2016,E08000012,,,250+,,Enterprise
13540.0,Year,2016,E08000012,,,Total,,Enterprise
6075.0,Year,2016,E08000014,,,0-4,,Enterprise
935.0,Year,2016,E08000014,,,5-9,,Enterprise
470.0,Year,2016,E08000014,,,10-19,,Enterprise
245.0,Year,2016,E08000014,,,20-49,,Enterprise
60.0,Year,2016,E08000014,,,50-99,,Enterprise
40.0,Year,2016,E08000014,,,100-249,,Enterprise
20.0,Year,2016,E08000014,,,250+,,Enterprise
7845.0,Year,2016,E08000014,,,Total,,Enterprise
3450.0,Year,2016,E08000013,,,0-4,,Enterprise
575.0,Year,2016,E08000013,,,5-9,,Enterprise
285.0,Year,2016,E08000013,,,10-19,,Enterprise
200.0,Year,2016,E08000013,,,20-49,,Enterprise
