V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
205.0,Year,2016,E08000037,,,Enterprise,45,45 : Motor trades
255.0,Year,2016,E08000037,,,Enterprise,46,46 : Wholesale
490.0,Year,2016,E08000037,,,Enterprise,47,47 : Retail
170.0,Year,2016,E08000037,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
395.0,Year,2016,E08000037,,,Enterprise,55-56,55-56 : Accommodation & food services
285.0,Year,2016,E08000037,,,Enterprise,58-63,58-63 : Information & communication
85.0,Year,2016,E08000037,,,Enterprise,64-66,64-66 : Finance & insurance
195.0,Year,2016,E08000037,,,Enterprise,68,68 : Property
745.0,Year,2016,E08000037,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
430.0,Year,2016,E08000037,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2016,E08000037,,,Enterprise,84,84 : Public administration & defence
100.0,Year,2016,E08000037,,,Enterprise,85,85 : Education
245.0,Year,2016,E08000037,,,Enterprise,86-88,86-88 : Health
345.0,Year,2016,E08000037,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
5080.0,Year,2016,E08000037,,,Enterprise,Total,Total
45.0,Year,2016,E08000021,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
350.0,Year,2016,E08000021,,,Enterprise,05-39,05-39 : Production
745.0,Year,2016,E08000021,,,Enterprise,41-43,41-43 : Construction
185.0,Year,2016,E08000021,,,Enterprise,45,45 : Motor trades
225.0,Year,2016,E08000021,,,Enterprise,46,46 : Wholesale
735.0,Year,2016,E08000021,,,Enterprise,47,47 : Retail
165.0,Year,2016,E08000021,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
745.0,Year,2016,E08000021,,,Enterprise,55-56,55-56 : Accommodation & food services
610.0,Year,2016,E08000021,,,Enterprise,58-63,58-63 : Information & communication
200.0,Year,2016,E08000021,,,Enterprise,64-66,64-66 : Finance & insurance
390.0,Year,2016,E08000021,,,Enterprise,68,68 : Property
1510.0,Year,2016,E08000021,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
630.0,Year,2016,E08000021,,,Enterprise,77-82,77-82 : Business administration & support services
15.0,Year,2016,E08000021,,,Enterprise,84,84 : Public administration & defence
170.0,Year,2016,E08000021,,,Enterprise,85,85 : Education
525.0,Year,2016,E08000021,,,Enterprise,86-88,86-88 : Health
680.0,Year,2016,E08000021,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
7925.0,Year,2016,E08000021,,,Enterprise,Total,Total
45.0,Year,2016,E08000022,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
380.0,Year,2016,E08000022,,,Enterprise,05-39,05-39 : Production
665.0,Year,2016,E08000022,,,Enterprise,41-43,41-43 : Construction
180.0,Year,2016,E08000022,,,Enterprise,45,45 : Motor trades
190.0,Year,2016,E08000022,,,Enterprise,46,46 : Wholesale
430.0,Year,2016,E08000022,,,Enterprise,47,47 : Retail
135.0,Year,2016,E08000022,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
435.0,Year,2016,E08000022,,,Enterprise,55-56,55-56 : Accommodation & food services
365.0,Year,2016,E08000022,,,Enterprise,58-63,58-63 : Information & communication
80.0,Year,2016,E08000022,,,Enterprise,64-66,64-66 : Finance & insurance
145.0,Year,2016,E08000022,,,Enterprise,68,68 : Property
895.0,Year,2016,E08000022,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
400.0,Year,2016,E08000022,,,Enterprise,77-82,77-82 : Business administration & support services
